CountyFIPS,ARTHRITIS,CASTHMA,BPHIGH,CANCER,HIGHCHOL,KIDNEY,COPD,CHD,DEPRESSION,DIABETES,OBESITY,TEETHLOST,STROKE
55141,25.1,9.4,29.0,6.6,28.6,2.6,5.6,5.3,20.1,8.2,36.4,12.7,2.8
12125,24.5,9.0,37.2,6.4,30.5,3.4,10.2,7.8,20.7,13.1,38.4,24.6,4.4
1109,32.2,10.3,43.0,6.4,32.3,3.3,8.3,6.8,25.4,13.9,36.3,21.2,4.2
41025,24.7,10.7,28.8,6.7,26.2,2.8,6.5,5.8,26.1,8.7,31.0,17.1,3.2
16043,23.3,9.7,29.3,6.3,27.3,2.8,6.2,6.1,22.6,10.1,32.7,15.9,3.1
38079,30.5,11.7,39.8,7.0,29.2,4.2,9.4,9.0,19.8,15.7,48.4,24.0,5.3
45021,27.6,10.3,37.4,6.6,31.9,3.2,8.7,6.9,22.9,12.0,36.9,21.2,4.0
31107,22.9,8.4,28.2,6.6,25.9,2.5,5.7,5.7,15.5,9.1,35.7,14.1,2.9
9011,23.4,10.0,28.2,6.5,28.4,2.5,5.3,4.7,18.3,8.2,30.8,9.9,2.6
42099,26.7,10.5,30.2,6.7,28.3,2.6,7.3,5.8,23.6,8.9,33.9,16.4,3.1
55009,24.4,9.6,26.2,6.5,28.8,2.5,5.1,5.1,19.5,8.1,34.8,11.5,2.7
51149,24.2,9.4,34.7,6.3,30.2,2.8,6.4,5.4,18.0,11.1,39.1,13.4,3.2
26081,25.6,10.1,30.1,6.6,29.6,2.7,6.5,5.4,24.0,9.8,34.1,11.1,2.9
42129,27.2,9.9,28.8,6.6,29.1,2.4,6.3,5.3,21.4,8.2,35.5,14.5,2.8
27115,22.2,9.3,29.5,6.4,26.5,2.7,6.2,6.0,21.0,9.2,32.7,15.0,3.1
55061,24.4,9.4,27.8,6.7,28.5,2.4,5.3,5.1,20.7,7.5,33.2,11.7,2.7
26163,27.7,11.8,34.5,6.3,31.1,3.5,8.4,6.5,20.9,11.8,40.1,16.0,4.0
17033,25.1,9.4,31.1,6.7,28.9,2.7,7.3,5.9,22.4,9.7,36.5,14.3,3.1
18181,23.9,9.9,31.1,6.6,29.5,2.7,7.9,6.1,22.4,10.5,35.9,17.6,3.1
5067,28.4,11.0,39.5,6.5,34.0,3.6,10.6,8.1,26.1,13.0,38.5,27.0,4.4
48431,20.4,7.9,32.3,5.7,31.1,3.0,5.9,5.7,19.0,12.7,37.6,15.4,3.1
18033,24.1,9.9,33.0,6.7,30.1,2.6,7.8,5.9,22.7,10.1,36.8,16.3,3.1
36075,26.1,11.0,30.5,6.8,27.7,2.7,8.4,6.0,21.3,9.3,37.5,18.5,3.1
13227,25.3,9.2,30.3,6.7,29.6,2.7,7.4,6.0,23.4,9.6,30.7,14.9,3.1
30075,25.0,10.1,26.2,6.8,26.2,2.6,6.2,5.6,24.6,7.5,29.7,14.6,2.9
