CountyFIPS,MHLTH,PHLTH,GHLTH
18083,17.0,14.6,21.1
42121,17.1,14.0,19.5
29095,15.2,12.8,20.0
29113,16.4,13.6,19.2
51033,15.1,12.4,19.5
28111,19.3,15.9,26.1
27137,13.8,11.5,15.3
47119,17.0,14.3,20.9
51051,19.6,17.3,25.5
48151,14.7,13.4,23.0
55025,11.7,9.1,11.8
26071,18.3,14.5,19.3
40045,16.6,14.3,21.4
51169,18.0,15.0,22.2
46053,13.2,11.4,16.7
36007,15.2,13.1,18.6
26001,18.3,14.6,19.4
22037,18.0,14.9,24.6
17119,14.9,11.8,16.5
31029,12.0,10.3,15.8
37169,16.6,13.5,20.3
29139,18.0,15.8,22.9
51065,13.8,10.6,15.2
41071,14.8,12.5,18.3
45079,13.4,12.0,18.3
23031,14.9,11.8,14.9
37085,15.2,13.3,21.2
48117,14.4,14.9,29.6
47075,19.5,17.9,29.4
21135,21.2,20.0,29.4
21115,19.8,17.9,26.3
13143,19.0,15.4,21.7
20193,15.0,11.8,17.3
5125,16.3,13.1,18.7
20047,14.6,12.3,20.7
47155,18.5,15.8,23.2
38033,11.8,10.3,14.8
47139,19.8,16.9,24.5
18049,16.2,13.7,19.8
48087,15.7,15.0,26.5
35007,15.0,14.1,22.0
1027,20.4,17.7,26.6
37115,15.8,12.9,18.8
5037,19.5,16.9,25.4
37189,15.6,13.2,18.6
21019,17.9,15.9,22.9
36049,16.2,13.3,18.4
50015,14.1,11.2,13.5
36093,14.0,11.6,16.9
55135,14.2,11.2,15.2
16037,15.6,14.3,18.6
28057,17.8,14.3,22.7
51087,13.0,10.6,15.9
48487,16.6,16.0,28.3
39019,18.1,14.3,19.8
47109,20.5,18.1,26.5
30003,19.2,18.4,25.0
48349,15.8,14.9,26.3
26031,18.1,14.4,18.9
31123,12.2,10.8,16.8
55035,13.7,11.0,14.1
31133,14.9,12.6,18.5
55123,15.3,12.4,16.9
37179,13.2,10.8,16.7
1083,16.9,14.0,20.8
18165,17.0,14.3,20.3
55055,13.4,10.6,14.1
54027,21.1,17.6,25.2
42057,17.1,13.9,19.8
40019,17.0,14.4,22.0
12103,16.0,13.3,18.7
48467,16.2,13.9,21.8
55073,13.5,10.6,13.8
13237,17.3,14.7,21.6
17021,15.9,12.9,18.3
32027,14.3,13.6,21.2
27159,15.1,12.5,17.6
30059,15.1,12.4,15.6
46019,12.9,11.3,17.0
29085,18.5,16.1,23.2
5047,20.8,18.3,26.5
27039,12.4,9.7,13.1
48223,15.8,13.8,22.4
48453,11.5,9.8,16.9
28067,17.5,14.5,24.5
2070,18.1,17.4,27.5
36059,11.6,9.5,14.2
5035,19.6,17.6,28.2
12049,18.3,19.2,31.7
6103,15.9,15.1,22.8
38003,11.7,10.3,14.7
49023,15.9,13.1,17.8
27009,13.5,10.7,14.8
4017,18.9,18.3,26.3
8001,12.7,11.3,18.0
51620,16.9,14.9,24.2
24021,12.8,10.0,14.3
19007,14.8,12.2,17.2
1005,20.5,19.1,31.1
40145,15.4,13.1,19.2
35035,16.2,14.8,22.7
21187,19.1,17.1,25.7
20101,14.8,11.5,17.6
26021,17.0,13.6,18.9
8043,14.1,12.6,18.0
48359,14.5,12.3,19.9
48047,16.2,18.9,38.0
48477,14.8,12.8,21.1
17077,16.2,14.2,20.3
12083,17.4,15.2,23.1
41001,16.3,13.1,18.5
19033,12.8,10.5,14.7
6039,14.8,15.3,26.4
39001,20.5,17.4,25.5
13247,16.0,13.8,21.7
9007,12.3,9.2,11.8
31083,12.5,10.3,14.3
51133,14.5,12.2,18.7
20067,13.7,12.6,23.4
13313,17.1,16.3,26.7
29161,16.6,14.6,20.3
17125,16.5,13.6,19.0
39029,18.4,14.7,20.9
18137,16.2,13.6,19.4
31117,13.8,11.5,16.0
36037,15.1,12.2,16.5
21123,18.6,16.5,24.4
39067,19.1,15.3,22.0
48451,13.6,12.6,22.1
22115,17.8,14.7,23.2
53021,13.8,14.4,23.6
26111,15.6,11.8,15.4
13023,18.4,15.3,22.0
21085,20.0,18.2,27.5
46015,12.2,10.3,15.2
28131,18.4,14.9,24.4
16015,14.2,12.3,15.6
21157,16.8,14.3,20.5
46083,10.0,8.2,11.5
23021,17.5,15.0,21.1
17159,16.2,13.3,18.6
51510,11.3,9.4,14.1
47025,20.5,17.8,26.0
46095,18.8,19.1,30.4
49033,14.6,12.3,16.3
31019,11.9,10.2,15.1
39093,16.5,13.4,19.9
29065,18.7,16.5,23.8
41027,13.9,12.3,20.1
21067,15.1,13.1,19.2
37011,16.1,13.9,21.3
22109,19.5,16.1,25.2
48245,14.7,14.0,24.4
40117,17.7,15.1,22.4
30037,15.9,13.2,17.1
