density,total_population,cancer,binge,csmoking,lpa,sleep,cancer_risk
6.7,30568,6.2,20.2,16.5,25.7,34.7,6-6.5
2474.4,10040723,5.1,16.6,10.9,25.2,36.5,5-5.5
73.9,157915,5.5,16.1,14.1,30.9,33.9,5.5-6
497.8,259027,6.2,19.2,9.5,17.3,28.6,6-6.5
11.9,17246,6.4,20.0,14.8,22.4,33.5,6-6.5
24.8,86919,6.2,19.4,14.8,25.1,33.3,6-6.5
144.3,279313,5.3,16.3,14.4,32.2,35.4,5-5.5
2.3,8840,6.3,18.8,17.2,26.0,34.3,6-6.5
4.7,14362,6.1,19.7,12.9,22.4,32.0,6-6.5
132.5,434621,5.4,17.7,12.0,27.9,32.5,5-5.5
184.4,137969,5.8,19.1,10.8,20.6,30.2,5.5-6
104.6,100191,6.5,20.7,12.4,18.8,30.3,6.5-7
4019.8,3177905,5.7,17.0,10.4,21.6,34.3,5.5-6
285.3,401405,6.2,19.0,11.0,17.6,31.2,6-6.5
7.4,18885,6.6,20.5,14.0,20.4,32.8,6.5-7
344.7,2483726,5.4,17.3,12.5,26.2,38.4,5-5.5
1613.9,1556817,5.9,19.6,13.3,24.0,35.1,5.5-6
45.6,63266,5.4,18.4,11.7,25.4,32.0,5-5.5
109.0,2185317,5.3,16.2,13.2,29.6,37.5,5-5.5
795.1,3344694,5.5,18.4,11.0,22.4,32.0,5.5-6
18825.8,882417,5.2,19.2,9.3,18.9,33.2,5-5.5
550.2,765512,5.4,17.8,13.9,27.5,36.6,5-5.5
86.1,284085,6.2,20.3,11.9,20.8,30.1,6-6.5
1707.9,765837,5.4,18.0,9.2,17.5,30.1,5-5.5
163.6,447530,5.8,18.0,11.7,23.9,30.5,5.5-6
1491.6,1924317,5.1,16.3,8.7,20.4,31.5,5-5.5
614.4,273524,6.0,18.9,11.4,21.5,30.1,6-6.5
47.9,180772,6.4,19.2,16.1,22.0,33.0,6-6.5
3.2,3009,6.4,19.5,15.3,23.4,33.2,6-6.5
7.0,43732,6.5,19.1,15.6,23.8,33.1,6.5-7
546.5,449107,5.7,19.0,11.9,24.7,35.5,5.5-6
313.8,494527,6.1,19.1,11.4,19.3,30.0,6-6.5
369.7,552693,5.6,18.3,14.2,30.5,33.8,5.5-6
161.5,97287,5.7,17.2,14.7,28.9,35.0,5.5-6
22.1,65316,6.2,18.2,16.6,28.5,33.9,6-6.5
3.8,12236,6.5,19.2,17.4,24.6,34.5,6.5-7
96.8,466926,5.3,14.7,14.9,32.6,35.2,5-5.5
24.7,54761,6.3,20.6,15.0,22.8,33.1,6-6.5
459.6,847146,5.7,18.0,10.6,21.8,32.9,5.5-6
218.0,221203,5.8,16.5,12.2,24.0,31.5,5.5-6
125.3,79182,5.9,17.8,14.8,25.3,35.4,5.5-6
444.8,519315,5.7,16.9,15.0,26.1,33.1,5.5-6
22.7,16423,5.6,14.5,16.5,26.9,33.4,5.5-6
824.0,657609,6.2,17.8,13.1,20.4,30.4,6-6.5
10.5,14179,6.3,18.7,14.2,19.3,29.6,6-6.5
1.4,3594,6.5,17.0,19.5,24.2,32.8,6.5-7
3.7,5548,5.7,15.9,21.4,30.3,35.0,5.5-6
450.8,327381,6.4,16.9,11.1,14.6,26.6,6-6.5
2143.6,70811,6.3,18.0,10.7,14.2,28.5,6-6.5
20.2,20513,6.5,18.2,15.5,18.6,29.7,6.5-7
1.0,1833,6.4,18.4,17.2,20.7,31.9,6-6.5
24.6,9734,6.5,19.3,13.7,16.4,29.6,6.5-7
6.4,8240,5.4,15.0,16.1,27.7,33.7,5-5.5
3.2,3918,5.3,13.8,17.3,31.2,34.4,5-5.5
7.8,6156,5.7,17.6,20.7,28.5,35.7,5.5-6
6.9,5127,6.6,18.8,15.4,18.3,30.5,6.5-7
27.5,31373,6.3,16.3,19.4,23.9,32.5,6-6.5
4767.0,729348,5.7,21.8,13.2,19.2,30.3,5.5-6
