CountyFIPS,ACCESS,CHECKUP,DENTAL,BPMED,CHOLSCREEN,MAMMOUSE,CERVICAL,COLON_SCREEN,COREM,COREW
19081,11.3,76.1,69.7,57.2,83.3,70.0,85.2,64.0,27.2,24.1
5127,20.2,75.8,47.3,60.4,80.7,65.4,79.8,55.7,17.8,17.6
21205,11.9,79.9,57.7,62.9,87.8,71.0,82.8,62.8,26.2,24.6
13035,27.5,76.0,50.9,61.3,84.5,74.2,83.0,58.7,19.3,22.2
24009,10.1,75.3,71.5,58.6,88.1,76.4,87.4,69.4,26.6,22.9
31185,15.6,67.0,67.2,57.5,81.3,68.2,83.5,63.5,26.7,21.6
55111,12.8,72.6,67.2,53.8,79.8,70.7,85.2,69.4,22.6,19.5
20021,16.7,70.8,58.1,57.3,81.3,65.4,82.2,56.6,22.7,21.3
5149,24.0,75.7,53.3,61.3,81.5,66.6,80.8,57.6,19.7,18.9
36015,12.6,77.8,61.9,57.4,85.6,73.8,85.6,64.3,20.2,18.1
41017,13.0,70.0,62.6,50.4,85.5,69.8,87.2,64.1,19.9,24.7
45065,21.4,79.6,58.7,61.8,84.3,75.5,85.8,66.2,25.8,25.8
21017,13.0,80.3,57.5,62.0,88.6,71.7,84.5,64.1,28.6,25.9
48401,29.2,72.1,53.2,58.5,82.4,69.6,82.1,57.9,17.5,17.4
53039,15.4,65.8,61.5,50.6,80.1,66.3,81.4,61.5,22.2,19.9
39007,15.7,74.5,58.6,58.6,80.7,69.5,82.1,55.6,21.9,22.6
47009,17.9,75.4,57.8,60.5,85.9,72.5,84.5,65.5,23.1,21.4
37049,19.1,77.4,64.0,57.8,85.9,77.4,86.1,64.7,28.4,29.2
47127,18.3,74.8,56.6,59.5,85.3,70.6,83.9,62.6,22.7,19.4
26025,14.5,77.7,63.3,56.4,86.5,73.5,84.9,66.7,26.9,22.5
22029,19.4,80.0,44.4,64.5,84.6,72.1,83.2,57.5,16.4,16.4
48481,35.7,72.7,52.2,59.0,82.4,69.3,81.8,55.7,17.1,16.6
48051,29.4,72.1,53.0,57.9,83.1,70.1,83.0,59.7,18.1,18.1
1085,23.1,80.1,46.1,68.0,87.3,75.5,84.7,61.4,20.5,20.7
53065,13.4,66.0,59.8,49.4,79.2,62.6,82.9,58.2,19.3,22.6
41039,15.2,71.3,63.8,51.4,84.9,70.5,85.6,66.1,22.1,21.7
27155,12.6,70.3,70.2,54.5,82.6,75.8,85.4,67.6,24.4,26.0
29186,16.5,73.8,57.0,59.1,82.2,65.4,83.8,63.2,25.8,25.1
